start_date,end_date,label,name,timing,type,year_start,month_start,day_start,year_end,month_end,day_end,ENSO event,ENSO strength
1975-10-01,1976-01-01,post_control,control_c,post,3 month,1975,10,1,1976,1,1,la nina,strong
1975-12-27,1976-06-27,pre_control,control_c,pre,6 month,1975,12,27,1976,6,27,la nina,strong
1976-01-30,1976-07-30,pre_control,control_c,pre,6 month,1976,1,30,1976,7,30,la nina,strong
1976-02-07,1976-08-07,pre_control,control_c,pre,6 month,1976,2,7,1976,8,7,la nina,strong
1976-03-05,1976-09-05,pre_control,control_c,pre,6 month,1976,3,5,1976,9,5,la nina,strong
1976-06-05,1976-09-05,pre_control,control_c,pre,3 month,1976,6,5,1976,9,5,la nina,strong
1976-06-28,1976-07-03,control,control_c,control,6 month,1976,6,28,1976,7,3,la nina,strong
1976-07-04,1977-01-04,post_control,control_c,post,6 month,1976,7,4,1977,1,4,la nina,strong
1976-07-31,1976-10-06,control,control_c,control,6 month,1976,7,31,1976,10,6,la nina,strong
1976-08-08,1976-08-10,control,control_c,control,6 month,1976,8,8,1976,8,10,la nina,strong
1976-08-11,1977-02-11,post_control,control_c,post,6 month,1976,8,11,1977,2,11,la nina,strong
1976-09-05,1976-09-15,control,control_c,control,3 month,1976,9,5,1976,9,15,la nina,strong
1976-09-05,1976-09-15,control,control_c,control,6 month,1976,9,5,1976,9,15,la nina,strong
1976-09-15,1976-12-15,post_control,control_c,post,3 month,1976,9,15,1976,12,15,la nina,strong
1976-09-15,1977-03-15,post_control,control_c,post,6 month,1976,9,15,1977,3,15,la nina,strong
1976-10-07,1977-04-07,post_control,control_c,post,6 month,1976,10,7,1977,4,7,la nina,strong
1977-02-14,1977-08-14,pre_control,control_c,pre,6 month,1977,2,14,1977,8,14,el nino,weak
1977-03-07,1977-09-07,pre_control,control_c,pre,6 month,1977,3,7,1977,9,7,el nino,weak
1977-03-16,1978-12-20,post_control,control_c,post,6 month,1977,3,16,1978,12,20,el nino,weak
1977-06-02,1977-09-02,pre_control,control_c,pre,3 month,1977,6,2,1977,9,2,el nino,weak
1977-06-05,1977-06-20,control,control_c,control,6 month,1977,6,5,1977,6,20,el nino,weak
1977-06-07,1977-09-07,pre_control,control_c,pre,3 month,1977,6,7,1977,9,7,el nino,weak
1977-08-14,1977-08-22,control,control_c,control,6 month,1977,8,14,1977,8,22,el nino,weak
1977-08-22,1978-02-22,post_control,control_c,post,6 month,1977,8,22,1978,2,22,el nino,weak
1977-09-02,1977-09-25,control,control_c,control,3 month,1977,9,2,1977,9,25,el nino,weak
1977-09-07,1977-09-11,control,control_c,control,3 month,1977,9,7,1977,9,11,el nino,weak
1977-09-07,1977-09-11,control,control_c,control,6 month,1977,9,7,1977,9,11,el nino,weak
1977-09-11,1977-12-11,post_control,control_c,post,3 month,1977,9,11,1977,12,11,el nino,weak
1977-09-11,1978-03-11,post_control,control_c,post,6 month,1977,9,11,1978,3,11,el nino,weak
1977-09-25,1977-12-25,post_control,control_c,post,3 month,1977,9,25,1977,12,25,el nino,weak
1977-12-05,1977-03-04,pre_control,control_c,pre,6 month,1977,12,5,1977,3,4,el nino,weak
1978-01-16,1978-07-16,pre_control,control_c,pre,6 month,1978,1,16,1978,7,16,el nino,weak
1978-03-27,1978-06-27,pre_control,control_c,pre,3 month,1978,3,27,1978,6,27,el nino,weak
1978-06-28,1978-07-03,control,control_c,control,3 month,1978,6,28,1978,7,3,el nino,weak
1978-07-04,1978-10-04,post_control,control_c,post,3 month,1978,7,4,1978,10,4,el nino,weak
1978-07-16,1978-07-27,control,control_c,control,6 month,1978,7,16,1978,7,27,el nino,weak
1978-07-27,1979-01-27,post_control,control_c,post,6 month,1978,7,27,1979,1,27,el nino,weak
1979-01-09,1979-07-09,pre_1,bob,pre,6 month,1979,1,9,1979,7,9,el nino,weak
1979-04-09,1979-07-09,pre_1,bob,pre,3 month,1979,4,9,1979,7,9,el nino,weak
1979-07-09,1979-07-16,hurricane_1,bob,during,hurricane,1979,7,9,1979,7,16,el nino,weak
1979-07-09,1979-07-16,hurricane_1,bob,hurricane,3 month,1979,7,9,1979,7,16,el nino,weak
1979-07-16,1979-10-16,post_1,bob,post,3 month,1979,7,16,1979,10,16,el nino,weak
1979-07-16,1980-01-16,post_1,bob,post,6 month,1979,7,16,1980,1,16,el nino,weak
1980-02-12,1980-08-12,pre_control,control_d,pre,6 month,1980,2,12,1980,8,12,el nino,weak
1980-02-28,1980-08-28,pre_control,control_d,pre,6 month,1980,2,28,1980,8,28,el nino,weak
1980-08-12,1980-08-20,control,control_d,control,6 month,1980,8,12,1980,8,20,el nino,weak
1980-08-20,1981-02-20,post_control,control_d,post,6 month,1980,8,20,1981,2,20,el nino,weak
1980-08-28,1980-09-04,control,control_d,control,6 month,1980,8,28,1980,9,4,el nino,weak
1980-09-04,1981-03-04,post_control,control_d,post,6 month,1980,9,4,1981,3,4,el nino,weak
1981-02-28,1981-08-29,pre_control,control_d,pre,6 month,1981,2,28,1981,8,29,NA,NA
1981-08-29,1981-09-10,control,control_d,control,6 month,1981,8,29,1981,9,10,NA,NA
1981-09-10,1982-03-10,post_control,control_d,post,6 month,1981,9,10,1982,3,10,NA,NA
1982-02-27,1982-08-27,pre_control,control_d,pre,6 month,1982,2,27,1982,8,27,el nino,very strong
1982-03-05,1982-06-05,pre_control,control_d,pre,3 month,1982,3,5,1982,6,5,el nino,very strong
1982-03-21,1982-09-21,pre_control,control_d,pre,6 month,1982,3,21,1982,9,21,el nino,very strong
1982-04-09,1982-07-09,pre_control,control_d,pre,3 month,1982,4,9,1982,7,9,el nino,very strong
1982-06-05,1982-06-20,control,control_d,control,3 month,1982,6,5,1982,6,20,el nino,very strong
1982-06-20,1982-09-20,post_control,control_d,post,3 month,1982,6,20,1982,9,20,el nino,very strong
1982-07-09,1982-07-16,control,control_d,control,3 month,1982,7,9,1982,7,16,el nino,very strong
1982-07-16,1982-10-16,post_control,control_d,post,3 month,1982,7,16,1982,10,16,el nino,very strong
1982-08-27,1982-09-13,control,control_d,control,6 month,1982,8,27,1982,9,13,el nino,very strong
1982-09-13,1983-03-13,post_control,control_d,post,6 month,1982,9,13,1983,3,13,el nino,very strong
1982-09-21,1982-10-04,control,control_d,control,6 month,1982,9,21,1982,10,4,el nino,very strong
1982-10-04,1983-04-04,post_control,control_d,post,6 month,1982,10,4,1983,4,4,el nino,very strong
1983-01-09,1983-07-09,pre_control,control_d,pre,6 month,1983,1,9,1983,7,9,el nino,very strong
1983-03-02,1983-09-02,pre_control,control_d,pre,6 month,1983,3,2,1983,9,2,el nino,very strong
1983-06-28,1983-09-28,pre_control,control_d,pre,3 month,1983,6,28,1983,9,28,el nino,very strong
1983-07-09,1983-07-16,control,control_d,control,6 month,1983,7,9,1983,7,16,el nino,very strong
1983-07-16,1984-01-16,post_control,control_d,post,6 month,1983,7,16,1984,1,16,el nino,very strong
1983-09-02,1983-09-25,control,control_d,control,6 month,1983,9,2,1983,9,25,el nino,very strong
1983-09-25,1984-03-25,post_control,control_d,post,6 month,1983,9,25,1984,3,25,el nino,very strong
1983-09-28,1983-10-05,control,control_d,control,3 month,1983,9,28,1983,10,5,el nino,very strong
1983-10-05,1984-01-05,post_control,control_d,post,3 month,1983,10,5,1984,1,5,el nino,very strong
1985-02-12,1985-08-12,pre_1,danny1,pre,6 month,1985,2,12,1985,8,12,la nina,weak
1985-02-28,1985-08-28,pre_3,elena,pre,6 month,1985,2,28,1985,8,28,la nina,weak
1985-04-26,1985-10-26,pre_1,juan,pre,6 month,1985,4,26,1985,10,26,la nina,weak
1985-05-12,1985-08-12,pre_1,danny1,pre,3 month,1985,5,12,1985,8,12,la nina,weak
1985-05-28,1985-08-28,pre_3,elena,pre,3 month,1985,5,28,1985,8,28,la nina,weak
1985-07-26,1985-10-26,pre_1,juan,pre,3 month,1985,7,26,1985,10,26,la nina,weak
1985-08-12,1985-08-20,hurricane_1,danny1,during,hurricane,1985,8,12,1985,8,20,la nina,weak
1985-08-12,1985-08-20,hurricane_1,danny1,hurricane,3 month,1985,8,12,1985,8,20,la nina,weak
1985-08-20,1985-11-20,post_1,danny1,post,3 month,1985,8,20,1985,11,20,la nina,weak
1985-08-20,1986-02-20,post_1,danny1,post,6 month,1985,8,20,1986,2,20,la nina,weak
1985-08-28,1985-09-04,hurricane_3,elena,during,hurricane,1985,8,28,1985,9,4,la nina,weak
1985-08-28,1985-09-04,hurricane_3,elena,hurricane,3 month,1985,8,28,1985,9,4,la nina,weak
1985-09-04,1985-12-04,post_3,elena,post,3 month,1985,9,4,1985,12,4,la nina,weak
1985-09-04,1986-03-04,post_3,elena,post,6 month,1985,9,4,1986,3,4,la nina,weak
1985-10-26,1985-11-03,hurricane_1,juan,during,hurricane,1985,10,26,1985,11,3,la nina,weak
1985-10-26,1985-11-03,hurricane_1,juan,hurricane,3 month,1985,10,26,1985,11,3,la nina,weak
1985-11-03,1986-02-03,post_1,juan,post,3 month,1985,11,3,1986,2,3,la nina,weak
1985-11-03,1986-05-03,post_1,juan,post,6 month,1985,11,3,1986,5,3,la nina,weak
1987-04-16,1987-07-16,pre_control,control_e,pre,3 month,1987,4,16,1987,7,16,el nino,strong
1987-07-16,1987-07-27,control,control_e,control,3 month,1987,7,16,1987,7,27,el nino,strong
1987-07-27,1987-10-27,post_control,control_e,post,3 month,1987,7,27,1987,10,27,el nino,strong
1988-02-07,1988-08-07,pre_ts,beryl,pre,6 month,1988,2,7,1988,8,7,el nino,strong
1988-03-07,1988-09-07,pre_1,florence,pre,6 month,1988,3,7,1988,9,7,el nino,strong
1988-05-07,1988-08-07,pre_ts,beryl,pre,3 month,1988,5,7,1988,8,7,el nino,strong
1988-06-07,1988-09-07,pre_1,florence,pre,3 month,1988,6,7,1988,9,7,el nino,strong
1988-08-08,1988-08-10,tropical_storm,beryl,during,tropical storm,1988,8,8,1988,8,10,el nino,strong
1988-08-08,1988-08-10,tropical_storm,beryl,tropical storm,3 month,1988,8,8,1988,8,10,el nino,strong
1988-08-11,1988-11-11,post_ts,beryl,post,3 month,1988,8,11,1988,11,11,el nino,strong
1988-08-11,1989-02-11,post_ts,beryl,post,6 month,1988,8,11,1989,2,11,el nino,strong
1988-09-07,1988-09-11,hurricane_1,florence,during,hurricane,1988,9,7,1988,9,11,el nino,strong
1988-09-07,1988-09-11,hurricane_1,florence,hurricane,3 month,1988,9,7,1988,9,11,el nino,strong
1988-09-11,1988-12-11,post_1,florence,post,3 month,1988,9,11,1988,12,11,el nino,strong
