location,0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
Rio Grande,26.4,d_19521001,73.3,54.1,30.4,16.6,6.5,0,0.2,0,0,0,0
Rio Grande,36.1,d_19521101,61.7,43.4,21.3,12.2,4.2,0,2.2,0.5,0,0,0
Rio Grande,33.2,d_19521201,65.4,46.1,21.3,8.1,3.2,0,1.5,0.3,0,0,0
Rio Grande,13.5,d_19530101,86.6,68.6,38,18.9,7.9,0,0,0,0,0,0
Rio Grande,18.5,d_19530201,81.5,66,39.5,23.8,13.1,0,0,0,0,0,0
Rio Grande,18.8,d_19530301,81.1,68.6,40.4,25.1,7,0,0.1,0,0,0,0
Rio Grande,15.7,d_19530401,84.4,70.7,47.4,39.6,23.1,0,0,0,0,0,0
Rio Grande,14.7,d_19530501,84.3,71,39.1,22.9,8.9,0,1.1,0.2,0,0,0
Rio Grande,20.6,d_19530601,77.7,64.3,41.2,26.3,12.8,0,1.7,0.3,0,0,0
Rio Grande,37.7,d_19530701,54.7,42.5,24.2,15.7,5.7,0,7.7,4.1,1.1,0.6,0
Rio Grande,20.7,d_19530801,76.2,62.4,40.5,29.3,14.7,0,3,1.8,0.1,0,0
Rio Grande,8.5,d_19530901,90.2,80.9,58.8,43.2,21.6,0,1.4,0.5,0,0,0
Rio Grande,12.4,d_19531001,86.4,77.9,45.1,27.2,8,0,1.1,0.7,0.1,0,0
Rio Grande,11.8,d_19531101,86.4,78.3,48.6,31.2,13.9,0,1.7,1.2,0.3,0,0
Rio Grande,10.4,d_19531201,87.9,82.1,58.9,39.3,20,0,1.7,1,0,0,0
Rio Grande,9.9,d_19540101,88.8,84.6,68.3,47.2,27.7,0,1.3,0.5,0,0,0
Rio Grande,6.9,d_19540201,93,88.6,71.7,52.8,29.4,0,0.1,0,0,0,0
Rio Grande,10.2,d_19540301,89.8,84.3,62,45.4,18.1,0,0,0,0,0,0
Rio Grande,13.4,d_19540401,85.4,80.2,60.8,48,28.5,0,1.1,0,0,0,0
Rio Grande,28.6,d_19540501,70.5,58.3,33.5,23.2,4.4,0,0.8,0,0,0,0
Rio Grande,37.3,d_19540601,52.7,42.2,17.5,7,0.6,0,10,4,0.4,0,0
Rio Grande,35.7,d_19540701,61.1,47.9,30,19.2,7.3,0,3.2,1.1,0.1,0,0
Rio Grande,50.4,d_19540801,45.9,29.5,13,5.2,0.9,0,3.6,1.2,0,0,0
Rio Grande,45.2,d_19540901,52.2,29.7,6.5,2,0,0,2.5,0.3,0,0,0
Rio Grande,60.7,d_19541001,35.5,14.1,1.6,0.2,0,0,3.8,0.7,0,0,0
Rio Grande,61,d_19541101,35.2,13.5,1.4,0.2,0,0,3.7,0.9,0.1,0,0
Rio Grande,52.7,d_19541201,44.6,21.6,4.3,1.7,0.3,0,2.7,0.8,0.1,0,0
Rio Grande,50.3,d_19550101,48.1,27.5,4.5,0.9,0,0,1.6,0.2,0,0,0
Rio Grande,32,d_19550201,67.4,46.9,16.4,6.5,0.8,0,0.5,0,0,0,0
Rio Grande,30.8,d_19550301,68.1,54.7,30.1,16.7,8.6,0,1.1,0.1,0,0,0
Rio Grande,29.7,d_19550401,64.8,49,27.2,16.1,4.6,0,5.6,1,0,0,0
Rio Grande,26.3,d_19550501,73,58.5,31.9,13.8,4.6,0,0.7,0,0,0,0
Rio Grande,21.2,d_19550601,78.6,66,33,15.7,3.7,0,0.2,0,0,0,0
Rio Grande,26.5,d_19550701,69.4,50.3,15.7,5.3,0,0,4.1,1.1,0,0,0
Rio Grande,41.4,d_19550801,54.8,33,9.7,4.7,2.7,0,3.8,0.8,0,0,0
Rio Grande,47,d_19550901,50.2,27.1,5.2,1.8,0.1,0,2.8,0.9,0,0,0
Rio Grande,36.2,d_19551001,61.9,36.7,8.7,2.9,0.4,0,1.8,0.7,0,0,0
Rio Grande,40.2,d_19551101,58.3,34.3,7.3,2.7,0.5,0,1.5,0.6,0,0,0
Rio Grande,41.8,d_19551201,56.9,34.4,7.9,3.2,0.5,0,1.3,0.4,0,0,0
Rio Grande,49,d_19560101,49,27.7,7.8,3.8,0.6,0,1.9,0.5,0,0,0
Rio Grande,44.1,d_19560201,53.2,31.4,10.2,3.3,0.3,0,2.7,1.2,0,0,0
Rio Grande,45.5,d_19560301,50.5,31.2,10.4,3.7,0.1,0,4,1.8,0.4,0,0
Rio Grande,12.8,d_19560401,86.7,64,32.5,17,4.3,0,0.6,0.4,0.2,0.1,0
Rio Grande,18.8,d_19560501,81,68.7,51.3,36.6,18.9,0,0,0,0,0,0
Rio Grande,5.9,d_19560601,94.1,81.1,57.8,43.7,24.4,0,0,0,0,0,0
Rio Grande,1.5,d_19560701,98.5,94.4,78.9,59,28.6,0,0,0,0,0,0
Rio Grande,0.6,d_19560801,99.3,98,88.1,70.5,47.6,0,0,0,0,0,0
Rio Grande,0.2,d_19560901,99.8,99.5,94.8,84.3,65.6,0,0,0,0,0,0
Rio Grande,0,d_19561001,100,99.5,96.3,88.9,70.2,0,0,0,0,0,0
Rio Grande,0,d_19561101,100,99.7,97.7,94.2,82.9,0,0,0,0,0,0
Rio Grande,0,d_19561201,99.9,99.7,97.7,93.8,79.8,0,0,0,0,0,0
Rio Grande,0.2,d_19570101,99.8,99.2,97.2,92,71.8,0,0,0,0,0,0
Rio Grande,0.3,d_19570201,99.7,99,94.1,77.9,45,0,0,0,0,0,0
Rio Grande,0.9,d_19570301,99,96.9,73.1,51.9,20.8,0,0,0,0,0,0
Rio Grande,13.2,d_19570401,85.9,76.7,56.1,30.4,5.9,0,0.9,0,0,0,0
Rio Grande,21.9,d_19570501,64.4,51.6,16.2,6.2,0.6,0,13.8,9.3,4.4,1.7,0.1
Rio Grande,30.2,d_19570601,51.5,32.3,10.2,4.8,1.8,0,18.2,13.4,5.9,3.1,0.7
Rio Grande,42.4,d_19570701,35,22.9,6.8,2.6,0,0,22.6,14.4,9.1,6.3,3.4
Rio Grande,27,d_19570801,28.5,18.3,3.2,2.3,0.5,0,44.5,34.7,16.9,9.5,5.7
Rio Grande,29.7,d_19570901,35.7,25.6,6.7,2.7,0.4,0,34.7,24.7,10.3,7.4,4.4
Rio Grande,31.3,d_19571001,20,6.2,0.3,0,0,0,48.6,37.8,21.5,10.2,2.8
Rio Grande,25.4,d_19571101,26,13.4,3.3,1.8,0,0,48.5,37.8,23.9,16.1,8.7
Rio Grande,28.2,d_19571201,32.4,19,3.5,1.7,0,0,39.3,29.2,18.1,11.8,5.7
Rio Grande,41.3,d_19580101,18.3,8.4,1.1,0,0,0,40.4,28.7,15.1,10.2,3.3
Rio Grande,41.5,d_19580201,18.5,11,0.9,0,0,0,40.1,26,9.4,5.1,1.3
Rio Grande,41.2,d_19580301,2.1,0,0,0,0,0,56.8,46.6,25.4,13.4,5.1
Rio Grande,32.6,d_19580401,1.1,0,0,0,0,0,66.3,50.2,22.8,11.8,5.3
Rio Grande,33.7,d_19580501,0.5,0,0,0,0,0,65.8,39.6,8.6,1.1,0
Rio Grande,9.9,d_19580601,0,0,0,0,0,0,90.1,73,31.2,14.8,1.8
Rio Grande,38.1,d_19580701,3.6,1.6,0.3,0,0,0,58.3,32.9,6.1,1.2,0
Rio Grande,36,d_19580801,13.2,7.1,1.8,1,0.2,0,50.9,32,4.3,0.6,0
Rio Grande,16.9,d_19580901,6.5,3.8,1.2,0.4,0,0,76.5,68.3,33,15.1,6.8
Rio Grande,18.4,d_19581001,5.3,3,0.7,0.1,0,0,76.4,66.8,33.8,14.9,8.3
Rio Grande,22.6,d_19581101,5.1,2.6,0.5,0.1,0,0,72.4,59.4,24,12.3,4.7
Rio Grande,29.3,d_19581201,13.6,8,2,1,0.4,0,57.3,35.5,8,3.5,0.1
